admonisher.n.01	restrain.v.03	person.n.01
airplane.n.01	fly.v.01	road.n.01
airplane.n.01	fly.v.01	sky.n.01
airplane.n.01	have.v.01	engine.n.01
airplane.n.01	have.v.01	wheel.n.01
airplane.n.01	have.v.02	wheel.n.01
airplane.n.01	park.v.01	street.n.01
airplane.n.01	park.v.02	grass.n.01
airplane.n.01	tall.a.01	truck.n.01
ashcan.n.01	have.v.02	bag.n.01
ashcan.n.01	touch.v.01	refrigerator.n.01
bag.n.01	against	shelf.n.01
bag.n.01	attach.v.02	table.n.02
bag.n.01	lie.v.01	person.n.01
bag.n.06	have.v.01	wheel.n.01
bag.n.06	hold.v.11	shirt.n.01
baggage.n.01	have.v.01	bag.n.01
baggage.n.01	have.v.01	wheel.n.01
basket.n.01	attach.v.02	bicycle.n.01
basket.n.01	contain.v.05	dog.n.01
basket.n.01	have.v.01	beer.n.01
basket.n.01	transport.v.02	bag.n.01
bear.n.01	have.v.01	coat.n.03
bear.n.01	sit.v.01	basket.n.01
bear.n.01	sit.v.01	chair.n.01
bear.n.01	stand.v.01	grass.n.01
bear.n.01	wear.v.01	hat.n.01
bear.n.01	wear.v.01	jacket.n.01
bed.n.01	have	person.n.01
bed.n.01	have.v.01	jacket.n.01
bed.n.01	have.v.01	post.n.04
bed.n.01	have.v.02	bench.n.01
bed.n.01	have.v.02	pillow.n.01
bench.n.01	get.v.03	person.n.01
bench.n.01	have.v.01	dog.n.01
bench.n.01	keep.v.01	person.n.01
bicycle.n.01	have.v.01	basket.n.01
bicycle.n.01	have.v.01	bottle.n.01
bicycle.n.01	park.v.01	bus.n.01
bicycle.n.01	park.v.01	table.n.02
boat.n.01	follow.v.01	boat.n.01
boat.n.01	have.v.01	ball.n.01
boat.n.01	have.v.01	engine.n.01
boat.n.01	have.v.02	roof.n.01
boat.n.01	transport.v.02	person.n.01
bottle.n.01	have.v.01	plant.n.02
bottle.n.01	touch.v.01	bag.n.01
bowl.n.01	hold.v.11	bowl.n.01
box.n.01	have.v.01	clock.n.01
box.n.01	have.v.01	pizza.n.01
box.n.01	hold.v.11	pizza.n.01
box.n.01	incorporate.v.02	clock.n.01
building.n.01	accommodate.v.04	person.n.01
building.n.01	attach_to.v.01	tower.n.01
building.n.01	have.v.01	clock.n.01
building.n.01	have.v.01	grass.n.01
building.n.01	have.v.01	tower.n.01
building.n.01	have.v.02	roof.n.01
building.n.01	have.v.02	truck.n.01
building.n.01	tall.a.01	hydrant.n.02
building.n.01	tall.a.01	tree.n.01
building.n.01	taller_than	shrub.n.01
building.n.01	touch.v.01	street.n.01
bus.n.01	drive.v.01	road.n.01
bus.n.01	drive.v.01	street.n.01
bus.n.01	have.v.01	cat.n.01
bus.n.01	have.v.01	face.n.01
bus.n.01	have.v.01	roof.n.02
bus.n.01	have.v.01	wheel.n.01
bus.n.01	have.v.02	ramp.n.01
bus.n.01	park.v.02	road.n.01
bus.n.01	park.v.02	street.n.02
bus.n.01	transport.v.02	person.n.01
cabinet.n.01	have.v.01	glass.n.02
cabinet.n.01	have.v.01	paper.n.01
cabinet.n.01	keep.v.01	monitor.n.04
camera.n.01	face.v.05	person.n.01
car.n.01	against	sky.n.01
car.n.01	drive.v.01	street.n.01
car.n.01	drive.v.02	road.n.01
car.n.01	drive_on	person.n.01
car.n.01	follow.v.01	car.n.01
car.n.01	have.v.01	bear.n.01
car.n.01	have.v.01	dog.n.01
car.n.01	have.v.01	roof.n.02
car.n.01	have.v.01	surfboard.n.01
car.n.01	have.v.01	wheel.n.01
car.n.01	park.v.01	motorcycle.n.01
car.n.01	park.v.01	road.n.01
car.n.01	park.v.02	sand.n.01
cart.n.01	have.v.01	baggage.n.01
cart.n.01	have.v.01	roof.n.01
cart.n.01	keep.v.01	baggage.n.01
cart.n.01	transport.v.02	bag.n.06
cart.n.01	transport.v.02	person.n.01
cat.n.01	have.v.02	face.n.07
cat.n.01	lean_on.v.01	sink.n.01
cat.n.01	lie.v.02	sink.n.01
cat.n.01	look.v.01	bear.n.01
cat.n.01	look.v.01	cat.n.01
cat.n.01	look.v.01	monitor.n.04
cat.n.01	sit.v.01	bench.n.01
cat.n.01	sit.v.01	chair.n.01
cat.n.01	sit.v.01	sink.n.01
cat.n.01	sit.v.01	table.n.02
cat.n.01	sit_down.v.01	sofa.n.01
cat.n.01	sleep.v.01	chair.n.01
cat.n.01	sleep.v.01	shelf.n.01
cat.n.01	stand.v.01	person.n.01
cat.n.01	watch.v.04	proctor.n.01
cat.n.01	wear.v.01	necktie.n.01
chair.n.01	against	counter.n.01
chair.n.01	have.v.01	bag.n.01
chair.n.01	have.v.01	pillow.n.01
